Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
326838199.0,165118706.0,161719493.0,11.6,8.678,12.0,19.8700008392334,1.37000000476837,0.759999990463257,8.77999973297119,3.90000009536743,20611860934000.0,2.17689548062727,294163000000.0,189744559000.0,10318.041668669903,10.1071996688843,89.28966179332612,2018,USA
325122128.0,164262696.0,160859432.0,11.8,8.638,12.0,19.7299995422363,1.42999994754791,0.75,8.71000003814697,4.3600001335144,19542979183000.0,1.96427694252948,294552000000.0,185620403000.0,10318.041668669903,9.91909980773926,89.28966179332612,2017,USA
323071755.0,163245938.0,159825817.0,12.2,8.493,12.0,19.7800006866455,1.42999994754791,0.769999980926514,8.71000003814697,4.86999988555908,18745075687000.0,0.258659212602979,231944000000.0,176951430000.0,10318.041668669903,9.45629978179932,89.28966179332612,2016,USA
320738994.0,162095782.0,158643212.0,12.4,8.44,12.0,19.8600006103516,1.44000005722046,0.759999990463257,8.82999992370605,5.28000020980835,18238300569000.0,2.65574743116825,220383000000.0,190383501000.0,10318.041668669903,9.03390026092529,82.4278282452692,2015,USA
318386329.0,160946434.0,157439895.0,12.5,8.237,12.0,19.9799995422363,1.35000002384186,0.699999988079071,8.85999965667725,6.17000007629395,17527163695000.0,2.50971616723706,235226000000.0,207796973000.0,12993.9655794706,9.22049999237061,83.0890424221381,2014,USA
316059947.0,159819809.0,156240138.0,12.4,8.215,12.0,19.9500007629395,1.32000005245209,0.670000016689301,8.81999969482422,7.36999988555908,16784849196000.0,0.684468369722254,230298000000.0,223828260000.0,13004.0235689845,9.08329963684082,82.9405096870129,2013,USA
313877662.0,158770009.0,155107653.0,12.6,8.102,12.0,19.7399997711182,1.37999999523163,0.759999990463257,8.75,8.06999969482422,16197007349000.0,3.10461388126697,232757000000.0,187695610000.0,12964.1879389302,8.72809982299805,83.4371776188128,2012,USA
311583481.0,157660006.0,153923475.0,12.7,8.073,12.0,19.7099990844727,1.45000004768372,0.769999980926514,8.72000026702881,8.94999980926514,15542581104000.0,1.22763694556249,237932000000.0,189073562000.0,13245.8819278677,8.3641996383667,83.714052768764,2011,USA
309327143.0,156560332.0,152766811.0,13.0,7.995,12.0,19.6399993896484,1.41999995708466,0.740000009536743,8.46000003814697,9.63000011444092,14992052727000.0,3.50162045204077,205633000000.0,156289352000.0,13394.9027551068,7.43569993972778,84.1505880660269,2010,USA
306771529.0,155298019.0,151473510.0,13.5,7.9,12.0,20.0,1.35000002384186,0.680000007152557,8.65999984741211,9.25,14448933025000.0,-2.02869596167031,150243000000.0,139948397000.0,12913.7146883015,7.35440015792847,84.1542537153329,2009,USA
304093966.0,153964934.0,150129032.0,14.0,8.1,12.0,21.4599990844727,1.3400000333786,0.689999997615814,9.60000038146973,5.78000020980835,14712844084000.0,-3.57935622156384,145214000000.0,156807011000.0,13663.4279681827,6.84560012817383,84.968221692611,2008,USA
301231207.0,152533798.0,148697409.0,14.3,8.0,12.0,22.1399993896484,1.28999996185303,0.649999976158142,10.0600004196167,4.61999988555908,14451858656000.0,-0.58379216047534,95664000000.0,154175628000.0,13657.4528282523,6.30420017242432,85.614705182945,2007,USA
298379912.0,151111214.0,147268698.0,14.3,8.1,12.0,22.3500003814697,1.38999998569489,0.740000009536743,10.0500001907349,4.61999988555908,13814611414000.0,2.54272540798463,46460000000.0,138239746000.0,13583.2669593387,6.39669990539551,85.626472526822,2006,USA
295516599.0,149690393.0,145826206.0,14.0,8.3,12.0,22.2600002288818,1.4099999666214,0.75,10.25,5.07999992370605,13036640230000.0,1.99652037996208,74800000000.0,148911711000.0,13704.5770481407,5.84119987487793,86.018535392161,2005,USA
292805298.0,148355637.0,144449661.0,14.0,8.2,12.0,22.3899993896484,1.47000002861023,0.779999971389771,10.4499998092651,5.53000020980835,12213729147000.0,2.69705737464905,76713000000.0,153729333000.0,13388.5897105591,5.47770023345947,86.1243128703203,2004,USA
290107933.0,147035365.0,143072568.0,14.1,8.4,12.0,22.4500007629395,1.5,0.810000002384186,10.7600002288818,5.98999977111816,11458243878000.0,1.22071973501623,58496000000.0,127788915000.0,13307.4920085002,5.32630014419556,86.2783854149701,2003,USA
287625193.0,145830133.0,141795060.0,14.0,8.5,12.0,22.75,1.53999996185303,0.839999973773956,10.960000038147,5.78000020980835,10936419054000.0,0.58475747867368,45794000000.0,106130395000.0,13296.1822993023,4.8407998085022,86.2490843609645,2002,USA
284968955.0,144541124.0,140427831.0,14.1,8.5,12.0,23.7399997711182,1.52999997138977,0.829999983310699,11.8900003433228,4.73000001907349,10581821399000.0,0.43383582792562,50364000000.0,119503208000.0,13046.6141478464,4.67869997024536,86.3459809106252,2001,USA
282162411.0,143178430.0,138983981.0,14.4,8.5,12.0,24.4400005340576,1.62999999523163,0.860000014305115,12.710000038147,3.99000000953674,10252345464000.0,2.74463636806905,38481000000.0,117948761000.0,13671.0520240061,5.42969989776611,85.8808305392289,2000,USA
279040000.0,141656845.0,137383155.0,14.2,8.6,12.0,24.6900005340576,1.67999994754791,0.899999976158142,13.0200004577637,4.21999979019165,9630664202000.0,2.96613958998381,30904000000.0,110866523000.0,13281.8699827982,5.70972659311957,85.7846010464005,1999,USA
275854000.0,140104345.0,135749655.0,14.3,8.6,12.0,24.9200000762939,1.72000002861023,0.920000016689301,13.3199996948242,4.51000022888184,9062818202000.0,4.67556992545772,17411000000.0,110022333000.0,13154.7630268185,4.5342968895809,86.0865943299391,1998,USA
272657000.0,138548214.0,134108786.0,14.2,8.7,12.0,25.1299991607666,1.75999999046326,0.949999988079071,13.6000003814697,5.0,8577554457000.0,4.22638273686627,23300000000.0,114674330000.0,12889.8322801175,4.51426029882715,86.4564944223768,1997,USA
269394000.0,136961367.0,132432633.0,14.4,8.8,12.0,25.3099994659424,1.79999995231628,0.970000028610229,13.8100004196167,5.44999980926514,8073122000000.0,3.13314900436785,30869000000.0,154824088227.27274,12854.2989079193,4.76393045060593,85.5100613230784,1996,USA
266278000.0,135451850.0,130826150.0,14.6,8.8,12.0,25.4899997711182,1.83000004291534,0.990000009536743,14.0200004577637,5.65000009536743,7639749000000.0,2.35816174748631,27952000000.0,154824088227.27274,12659.607628118,4.72655433519206,85.4693359772985,1995,USA
263126000.0,133928126.0,129197874.0,15.0,8.8,12.0,25.6399993896484,1.86000001430511,1.00999999046326,14.1999998092651,6.11999988555908,7287236000000.0,3.26968730724731,22966000000.0,154824088227.27274,12455.1621656545,4.08864139839829,85.9121290643525,1994,USA
259919000.0,132378008.0,127540992.0,15.4,8.8,12.0,25.7099990844727,1.88999998569489,1.01999998092651,14.2600002288818,6.90000009536743,6858559000000.0,0.849214938917939,31158000000.0,154824088227.27274,12261.5237824091,4.28152840674077,86.1179647916857,1993,USA
256514000.0,130719657.0,125794343.0,15.8,8.5,12.0,25.8299999237061,1.9099999666214,1.03999996185303,14.3999996185303,7.5,6520327000000.0,1.99289603813921,31077000000.0,154824088227.27274,12014.9582478929,4.76308310810846,85.5748223295601,1992,USA
252981000.0,128977075.0,124003925.0,16.2,8.6,12.0,25.9599990844727,1.92999994754791,1.04999995231628,14.5200004577637,6.80000019073486,6158129000000.0,-0.987017771608222,31586000000.0,154824088227.27274,12134.1721315039,4.50791959377071,85.6947378489449,1991,USA
249623000.0,127297431.0,122325569.0,16.7,8.6,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,5963144000000.0,0.121338999180338,34692000000.0,154824088227.27274,11713.3317042099,4.17546218583434,86.4378383178815,1990,USA
246819000.0,125869265.0,120949735.0,16.4,8.8,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,5641580000000.0,1.13093752266951,24790000000.0,154824088227.27274,11531.9323066701,6.410655244924104,87.0932872393801,1989,USA
244499000.0,124661002.0,119837998.0,16.0,8.9,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,5236438000000.0,5.0118519867508,22657000000.0,154824088227.27274,11298.3325085174,6.410655244924104,87.0772387170186,1988,USA
242289000.0,123494563.0,118794437.0,15.7,8.6,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,4855215000000.0,2.8117088324198,17488000000.0,154824088227.27274,10886.8582560496,6.410655244924104,87.37781446172,1987,USA
240133000.0,122359414.0,117773586.0,15.6,8.7,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,4579631000000.0,2.44137785883795,16957000000.0,154824088227.27274,10424.4272965398,6.410655244924104,87.6566326584691,1986,USA
237924000.0,121213526.0,116710474.0,15.8,8.7,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,4338979000000.0,3.22336168941379,25365000000.0,154824088227.27274,10414.2078983205,6.410655244924104,88.3016686762272,1985,USA
235825000.0,120145925.0,115679075.0,15.6,8.7,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,4037613000000.0,7.21424344743384,36290000000.0,154824088227.27274,10282.3746422135,6.410655244924104,88.9010414433368,1984,USA
233792000.0,119129099.0,114662901.0,15.6,8.6,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,3634038000000.0,1.95652879576214,37085000000.0,154824088227.27274,9742.00571448125,6.410655244924104,89.4550670754244,1983,USA
231664000.0,118069136.0,113594864.0,15.9,8.5,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,3343789000000.0,0.45955820683308,36510000000.0,154824088227.27274,9544.46094343532,6.410655244924104,90.0431205042659,1982,USA
229466000.0,116961245.0,112504755.0,15.8,8.6,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,3207041000000.0,3.11369394392031,32935000000.0,154824088227.27274,9976.69371497302,6.410655244924104,90.8319465466873,1981,USA
227225000.0,115807153.0,111417847.0,15.9,8.8,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,2857307000000.0,-3.21927506327103,34185000000.0,154824088227.27274,9862.36549675432,6.410655244924104,91.4260719583639,1980,USA
225055000.0,114660067.0,110394933.0,15.6,8.5,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,2627333000000.0,-1.71689806973481,31931000000.0,154824088227.27274,9700.69538557242,6.410655244924104,91.8029261569988,1979,USA
222585000.0,113336721.0,109248279.0,15.0,8.7,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,2351599000000.0,4.00804918789144,21581000000.0,154824088227.27274,9560.5454096188,6.410655244924104,91.7438061244566,1978,USA
220239000.0,112064477.0,108174523.0,15.1,8.6,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,2081826000000.0,3.00441994705936,20292000000.0,154824088227.27274,9337.72401799863,6.410655244924104,92.4223027301356,1977,USA
218035000.0,110868770.0,107166230.0,14.6,8.8,12.0,22.532857009342738,1.5507142799241203,0.8271428495645523,11.042142936161586,5.932857147284916,1873412000000.0,3.98152783694226,16847000000.0,154824088227.27274,8968.7756552847,6.410655244924104,93.0056154760703,1976,USA
