Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
57792520.0,29297427.0,28495093.0,20.51,9.435,9.0,23.1299991607666,5.15999984741211,3.88000011444092,11.6199998855591,26.9099998474121,404842116738.074,-0.714556699705241,-11288811310.3469,9211178768.16358,3991.581354050453,10.3432998657227,87.4075277303104,2018,South Africa
57009751.0,28888314.0,28121437.0,20.908,9.498,9.0,23.3400001525879,5.28000020980835,3.76999998092651,12.210000038147,27.0400009155273,381448814653.456,1.11312227290306,-10575832463.2499,9512565346.39335,3991.581354050453,10.2253999710083,87.4075277303104,2017,South Africa
56207649.0,28471936.0,27735713.0,21.314,9.599,9.0,23.3299999237061,5.57000017166138,3.88000011444092,11.9099998474121,26.5400009155273,323585509674.481,-1.65747731488467,-8291430980.09355,7811956311.86773,3991.581354050453,10.7053003311157,87.4075277303104,2016,South Africa
55386369.0,28049365.0,27337004.0,21.719,9.769,9.0,23.8299999237061,5.6100001335144,4.23000001907349,11.7299995422363,25.1499996185303,346709790458.563,1.84660987913172,-7943171747.43347,7745421796.45039,3991.581354050453,10.2917003631592,87.4075277303104,2015,South Africa
54544184.0,27620134.0,26924050.0,22.113,10.044,9.0,23.4200000762939,4.65000009536743,3.20000004768372,12.0299997329712,24.8899993896484,381198869776.106,-0.05091164694349,-9453635055.88138,8103329441.92394,4198.04611982095,9.90810012817383,86.7914316914016,2014,South Africa
53687125.0,27186808.0,26500317.0,22.483,10.43,9.0,23.5100002288818,4.98000001907349,3.49000000953674,12.3999996185303,24.5599994659424,400886013595.573,0.0282602835947898,-9691301734.67907,7724469130.17347,4285.64576702515,9.7819995880127,86.5753045830766,2013,South Africa
52832659.0,26757264.0,26075395.0,22.815,10.918,9.0,23.4400005340576,4.82999992370605,3.58999991416931,12.25,24.7299995422363,434400545085.811,-0.047718954305239,-10883811008.6603,8586837257.45746,4366.03048883078,10.6075000762939,87.1552338062339,2012,South Africa
52003759.0,26341727.0,25662032.0,23.097,11.483,9.0,24.1700000762939,4.59999990463257,3.45000004768372,12.9399995803833,24.6399993896484,458201514136.977,1.16527986511841,-10719863381.5813,9365149068.32298,4566.32375363481,11.3718004226685,87.0396420075922,2011,South Africa
51216967.0,25947466.0,25269501.0,23.305,12.085,9.0,24.3999996185303,4.84999990463257,3.76999998092651,13.0100002288818,24.6800003051758,417365076968.257,2.02755139911493,-8131317270.39283,8797168893.07764,4542.59620644854,11.7876996994019,87.4612414084292,2010,South Africa
50477013.0,25576554.0,24900459.0,23.417,12.677,9.0,25.25,5.05000019073486,3.61999988555908,13.1000003814697,23.5200004577637,329753048857.052,3.32131377879034,-6627447278.04855,7912411661.96585,4428.15425706747,10.9875001907349,87.6756697252912,2009,South Africa
49779472.0,25226850.0,24552622.0,23.433,13.206,9.0,25.7700004577637,5.57000017166138,4.11999988555908,13.1000003814697,22.4099998474121,316132138757.081,-4.55939444174319,-8942405461.67627,8132463758.29177,4665.17603882982,11.5638999938965,88.1486688054943,2008,South Africa
49119766.0,24895876.0,24223890.0,23.367,13.624,9.0,25.8899993896484,6.01000022888184,4.46000003814697,13.0900001525879,26.5400009155273,333075462599.71,2.11058612311884,-9767791750.64581,7846971470.74687,4851.69249381196,10.3747997283936,87.7174554641475,2007,South Africa
48489464.0,24579340.0,23910124.0,23.238,13.897,9.0,26.0400009155273,6.5,4.90999984741211,13.2700004577637,28.3400001525879,303860874149.007,5.07302949790325,-5135494351.32541,6232115159.12279,4721.93299558849,10.757399559021,87.1137981553145,2006,South Africa
47880595.0,24273136.0,23607459.0,23.073,13.994,9.0,26.25,7.01999998092651,5.3899998664856,13.6099996566772,29.1200008392334,288868489078.987,5.54548569785827,-4941581620.61862,6023248832.41866,4636.93068141697,10.9924001693726,87.1567180454355,2005,South Africa
47291610.0,23976130.0,23315480.0,22.902,13.897,9.0,26.4200000762939,7.57000017166138,5.8899998664856,13.9200000762939,29.4500007629395,255806631391.551,2.9293639879525,-4311345728.12979,6169329752.15567,4589.9050592695,12.3071002960205,86.9948355294109,2004,South Africa
46719203.0,23686434.0,23032769.0,22.763,13.63,9.0,26.6000003814697,8.14000034332275,6.40999984741211,14.1499996185303,32.310001373291,197020241490.079,4.57457708168607,-4609435932.68735,5228872936.13759,4559.77384716944,13.063099861145,86.0232801463329,2003,South Africa
46150913.0,23397962.0,22752951.0,22.692,13.225,9.0,26.7700004577637,8.71000003814697,6.90000009536743,14.3100004196167,33.2900009155273,129088132201.846,6.54341648830592,-2789188573.81388,3817099699.26096,4528.81614714751,13.895899772644,84.8983427744315,2002,South Africa
45571272.0,23103252.0,22468020.0,22.715,12.709,9.0,26.9899997711182,9.31999969482422,7.6399998664856,14.710000038147,30.6900005340576,135429607036.658,0.713942129221422,-3737397202.99215,3808892278.02816,4302.11822922125,15.6297998428345,85.678084496442,2001,South Africa
44967713.0,22796107.0,22171606.0,22.854,12.107,9.0,27.25,9.93000030517578,8.30000019073486,14.960000038147,29.8799991607666,151753369491.916,3.60183701501198,-3173578489.29364,3967968183.52114,4579.95273186341,16.2558994293213,84.2434264809192,2000,South Africa
44338551.0,22476167.0,21862384.0,23.119,11.448,9.0,27.3299999237061,10.2799997329712,8.63000011444092,15.1700000762939,29.9130001068115,151516560274.982,-0.156846673308536,-3208282183.48474,4312766118.34029,4470.96252649303,18.2213200307393,84.6527318056298,1999,South Africa
43682259.0,22142307.0,21539952.0,23.499,10.767,9.0,27.4899997711182,10.539999961853,8.88000011444092,15.4099998474121,29.94700050354,152982541794.042,-0.718346237559373,-3163359441.4196,4641766365.79057,4606.90460170569,17.272490038871,84.4570529558715,1998,South Africa
42987456.0,21787049.0,21200407.0,23.983,10.105,9.0,27.6200008392334,10.7399997711182,9.07999992370605,15.5699996948242,29.9069995880127,168976663845.486,1.21257828114479,-3221354166.66667,5518601258.68056,4818.49868017312,17.1071913418366,84.9071577134962,1997,South Africa
42241007.0,21401432.0,20839575.0,24.572,9.498,9.0,27.7600002288818,10.9499998092651,9.25,15.7299995422363,29.8740005493164,163236785802.34,2.02349382449596,-3112134533.52871,5577128834.92662,4705.94841642861,17.4377706017221,84.9935558795546,1996,South Africa
41435761.0,20980414.0,20455347.0,25.276,8.98,9.0,27.9400005340576,11.1300001144409,9.4399995803833,15.9300003051758,29.8939990997314,171735223677.318,2.88444321139529,-2874748421.60404,5360861404.42778,4157.56814506194,18.1130796760271,86.3013700350014,1995,South Africa
40564061.0,20519403.0,20044658.0,26.107,8.577,9.0,28.0900001525879,11.2700004577637,9.52000045776367,16.0799999237061,29.8889999389648,153512625915.287,0.226900676807887,-2421707784.16132,5765086966.31745,4068.47825221444,18.5628815589559,86.1528321349113,1994,South Africa
39633754.0,20023534.0,19610220.0,27.055,8.288,9.0,28.2399997711182,11.3900003433228,9.64999961853027,16.2299995422363,29.9220008850098,147196639471.188,3.0752357697535,-2662423111.05671,5037914833.06301,4023.28782683568,18.585950063784,86.650110800266,1993,South Africa
38672611.0,19509646.0,19162965.0,28.095,8.109,9.0,28.3999996185303,11.4799995422363,9.76000022888184,16.3999996185303,29.9799995422363,134545231416.55,-0.546393950348076,-2945652173.91304,4726157082.74895,3997.04069632123,18.3632170243738,85.1541575607375,1992,South Africa
37718952.0,19001034.0,18717918.0,29.194,8.041,9.0,28.5499992370605,11.5100002288818,9.77999973297119,16.5200004577637,29.9549999237061,123943432441.241,-0.300804389578602,-3208271466.33832,5168580016.65882,4128.26952350108,17.4661188204403,86.2707908672794,1991,South Africa
36800507.0,18514600.0,18285907.0,30.312,8.082,9.0,25.972142900739396,7.8085714748927515,6.246071406773159,13.97714281082153,27.998964445931563,115552349036.929,-1.60311311181674,-4267348624.83898,4861399420.63443,4238.74594988596,16.6278217077773,86.1560071464834,1990,South Africa
35930056.0,18057604.0,17872452.0,31.408,8.22,9.0,25.972142900739396,7.8085714748927515,6.246071406773159,13.97714281082153,27.998964445931563,99030856824.7526,0.632108147431282,-3369457357.98626,4854199572.76486,4271.3264905571,13.745118625981657,85.7587484321716,1989,South Africa
35100905.0,17626103.0,17474802.0,32.445,8.434,9.0,25.972142900739396,7.8085714748927515,6.246071406773159,13.97714281082153,27.998964445931563,95176640968.0367,1.35067174861467,-3172246799.21749,5062751061.97911,4255.16094243154,13.745118625981657,87.1673524930403,1988,South Africa
34297727.0,17212169.0,17085558.0,33.388,8.699,9.0,25.972142900739396,7.8085714748927515,6.246071406773159,13.97714281082153,27.998964445931563,88573697223.1721,4.73391992398004,-3116844845.42029,4560337912.02764,4175.11632767967,13.745118625981657,88.5555062554156,1987,South Africa
33495956.0,16802774.0,16693182.0,34.207,8.997,9.0,25.972142900739396,7.8085714748927515,6.246071406773159,13.97714281082153,27.998964445931563,67521602553.14,-4.22209138604508,-2945692219.05117,3086171672.67105,4205.70172709804,13.745118625981657,88.0437417287456,1986,South Africa
32678876.0,16388853.0,16290023.0,34.87,9.308,9.0,25.972142900739396,7.8085714748927515,6.246071406773159,13.97714281082153,27.998964445931563,59082638803.5266,-8.5434098200211,-2570585662.57635,2821407339.20058,4117.79768679926,13.745118625981657,88.7753766417448,1985,South Africa
31841588.0,15968273.0,15873315.0,35.355,9.621,9.0,25.972142900739396,7.8085714748927515,6.246071406773159,13.97714281082153,27.998964445931563,77344092906.7265,5.76491084356476,-2993335152.80888,3429863195.92684,4034.97463757147,13.745118625981657,89.3491292378754,1984,South Africa
